Time,Estimated_Height,Estimated_Speed,Estimated_Accel
466,89.452553,-2.745513,-1.036036
467,89.483627,-2.722112,-0.986896
468,89.478752,-2.713456,-0.946379
469,89.497856,-2.694889,-0.911938
470,89.511833,-2.678484,-0.883157
471,89.530968,-2.660028,-0.858927
472,89.529419,-2.662859,-0.916450
473,89.546669,-2.658275,-0.964341
474,89.589600,-2.630785,-0.926583
475,89.613556,-2.611215,-0.895290
476,89.640442,-2.603252,-0.946439
477,89.669167,-2.582198,-0.911872
478,89.678574,-2.581851,-0.960700
479,89.695107,-2.566136,-0.924080
480,89.704414,-2.566105,-0.970952
481,89.713669,-2.566345,-1.010271
482,89.725868,-2.578303,-1.120638
483,89.739876,-2.577237,-1.135733
484,89.736580,-2.583343,-1.148728
485,89.731163,-2.603024,-1.237106
486,89.727661,-2.609415,-1.233750
487,89.726105,-2.602195,-1.153453
488,89.739487,-2.601247,-1.163257
489,89.735558,-2.607446,-1.171813
490,89.712967,-2.621239,-1.179343
491,89.721085,-2.622336,-1.185063
492,89.710381,-2.631145,-1.190221
493,89.720352,-2.618692,-1.116706
494,89.728119,-2.619628,-1.132530
495,89.730614,-2.622792,-1.145903
496,89.733002,-2.626031,-1.157122
497,89.745163,-2.638006,-1.243785
498,89.759041,-2.636868,-1.238999
499,89.774658,-2.622292,-1.157510
500,89.766289,-2.617283,-1.089623
501,89.776657,-2.604314,-1.032321
502,89.788971,-2.577955,-0.908365
503,89.795181,-2.591669,-1.035263
504,89.776451,-2.616081,-1.142178
505,89.779037,-2.606590,-1.076556
506,89.785240,-2.620828,-1.176330
507,89.768456,-2.632100,-1.183013
508,89.772469,-2.660184,-1.343097
509,89.780235,-2.661782,-1.322408
510,89.813957,-2.627462,-1.151254
511,89.824028,-2.640241,-1.238902
512,89.823898,-2.644779,-1.235169
513,89.812180,-2.641259,-1.154816
514,89.817093,-2.643269,-1.164538
515,89.807854,-2.663812,-1.250405
516,89.790726,-2.662336,-1.167688
517,89.788727,-2.666967,-1.175455
518,89.795853,-2.642674,-1.028491
519,89.796844,-2.658314,-1.136089
520,89.784836,-2.654208,-1.071702
521,89.790039,-2.642773,-1.017365
522,89.793198,-2.644750,-1.049273
523,89.777245,-2.667406,-1.153844
524,89.758339,-2.678814,-1.164163
525,89.741653,-2.676502,-1.095328
526,89.752106,-2.675469,-1.114511
527,89.745354,-2.681588,-1.130931
528,89.755692,-2.680726,-1.144375
529,89.744209,-2.676155,-1.078628
530,89.728775,-2.698342,-1.178439
531,89.713409,-2.720742,-1.262149
532,89.720787,-2.708561,-1.177035
533,89.722923,-2.698228,-1.105747
534,89.709503,-2.706732,-1.123694
535,89.707649,-2.723206,-1.215963
536,89.705673,-2.740003,-1.293354
537,89.705589,-2.743505,-1.280783
538,89.698685,-2.749684,-1.270367
539,89.687592,-2.782873,-1.416589
540,89.699043,-2.781751,-1.383910
541,89.674431,-2.795221,-1.357189
542,89.651978,-2.794773,-1.257283
543,89.639595,-2.802393,-1.250727
544,89.625198,-2.823421,-1.322704
545,89.651596,-2.827873,-1.382287
546,89.660347,-2.839801,-1.432602
547,89.670769,-2.838443,-1.397327
548,89.671593,-2.866271,-1.522805
549,89.657509,-2.875070,-1.473444
550,89.626236,-2.890520,-1.432363
551,89.634895,-2.864041,-1.243827
552,89.646538,-2.848141,-1.161497
553,89.658073,-2.832055,-1.092448
554,89.646812,-2.850571,-1.189856
555,89.656311,-2.848155,-1.193716
556,89.633026,-2.871916,-1.275023
557,89.644592,-2.856112,-1.187662
558,89.637405,-2.847719,-1.114749
559,89.630386,-2.838980,-1.053590
560,89.621521,-2.843503,-1.079769
561,89.617432,-2.858867,-1.179077
562,89.617470,-2.847438,-1.107408
563,89.615532,-2.849303,-1.124776
564,89.615715,-2.837652,-1.061862
565,89.613953,-2.839331,-1.086574
566,89.631401,-2.820544,-1.029492
567,89.629654,-2.822266,-1.059431
568,89.609398,-2.831695,-1.084897
569,89.589447,-2.841010,-1.106248
570,89.602425,-2.824135,-1.046080
571,89.611244,-2.834293,-1.150582
572,89.599236,-2.866111,-1.316076
573,89.597954,-2.868571,-1.299789
574,89.587837,-2.887243,-1.363736
575,89.598328,-2.884869,-1.339530
576,89.615700,-2.866863,-1.241653
577,89.628700,-2.875792,-1.314529
578,89.616974,-2.857219,-1.145383
579,89.625092,-2.855043,-1.156432
580,89.616066,-2.859965,-1.166030
581,89.624199,-2.857857,-1.173750
582,89.615181,-2.862834,-1.180555
583,89.625366,-2.847209,-1.108451
584,89.618469,-2.838394,-1.048305
585,89.628838,-2.822313,-0.997527
586,89.637184,-2.819712,-1.032423
587,89.637688,-2.795368,-0.908545
588,89.636436,-2.783854,-0.880541
589,89.633415,-2.785786,-0.934533
590,89.613571,-2.794859,-0.980143
591,89.615242,-2.770084,-0.864684
592,89.598137,-2.765152,-0.844067
593,89.579468,-2.773530,-0.904248
594,89.578270,-2.774974,-0.954391
595,89.579315,-2.763032,-0.918966
596,89.578506,-2.764533,-0.966736
597,89.560822,-2.773174,-1.007128
598,89.545525,-2.768223,-0.963518
599,89.530602,-2.762952,-0.926932
600,89.536140,-2.761901,-0.973296
601,89.558266,-2.767043,-1.089312
602,89.554832,-2.757757,-1.032233
603,89.549492,-2.761784,-1.061837
604,89.549370,-2.763783,-1.086568
605,89.529221,-2.761361,-1.030253
606,89.509438,-2.758522,-0.983009
607,89.500893,-2.789022,-1.175490
608,89.496468,-2.793029,-1.181969
609,89.487923,-2.824136,-1.342362
610,89.506027,-2.794185,-1.168192
611,89.503349,-2.784654,-1.098368
612,89.481682,-2.795362,-1.117609
613,89.471123,-2.801485,-1.133530
614,89.466896,-2.805026,-1.146760
615,89.440010,-2.805142,-1.080848
616,89.441986,-2.805818,-1.102448
617,89.441910,-2.820156,-1.198047
618,89.422646,-2.855379,-1.356038
619,89.421494,-2.845426,-1.255873
620,89.416168,-2.862209,-1.326820
621,89.396255,-2.859682,-1.231719
622,89.407097,-2.844104,-1.151359
623,89.413719,-2.855460,-1.238923
624,89.405678,-2.847697,-1.157765
625,89.395706,-2.853111,-1.167171
626,89.385857,-2.858455,-1.175055
627,89.370995,-2.865820,-1.181761
628,89.370789,-2.892565,-1.341984
629,89.374489,-2.892783,-1.321411
630,89.371346,-2.895686,-1.304283
631,89.358238,-2.889817,-1.212664
632,89.355179,-2.892145,-1.213063
633,89.354187,-2.880881,-1.135916
634,89.369835,-2.875264,-1.148333
635,89.382271,-2.858386,-1.081371
636,89.376038,-2.849007,-1.025570
637,89.372070,-2.826072,-0.902863
638,89.366425,-2.815926,-0.875840
639,89.361130,-2.805623,-0.853172
640,89.376854,-2.774280,-0.757901
641,89.399590,-2.765149,-0.831172
642,89.411446,-2.760974,-0.892847
643,89.423378,-2.757154,-0.944584
644,89.435318,-2.753653,-0.987984
645,89.447243,-2.750439,-1.024392
646,89.442543,-2.741544,-0.977810
647,89.416855,-2.766534,-1.094026
648,89.391472,-2.791692,-1.191491
649,89.390564,-2.794311,-1.195322
650,89.372543,-2.803916,-1.198861
651,89.378418,-2.803640,-1.201367
652,89.382103,-2.816994,-1.280952
653,89.374153,-2.822642,-1.270484
654,89.364120,-2.841727,-1.339181
655,89.376732,-2.826232,-1.241478
656,89.385017,-2.837625,-1.314497
657,89.393013,-2.849374,-1.375746
658,89.384140,-2.855479,-1.349998
659,89.386627,-2.869436,-1.405620
660,89.388824,-2.883624,-1.452274
661,89.390709,-2.898005,-1.491407
662,89.394310,-2.898988,-1.446749
663,89.393021,-2.889003,-1.331940
664,89.408188,-2.884520,-1.312768
665,89.423042,-2.880121,-1.296694
666,89.421051,-2.869869,-1.206095
667,89.415993,-2.848068,-1.054301
668,89.405014,-2.866057,-1.157843
669,89.416893,-2.849576,-1.089365
670,89.418907,-2.849700,-1.109564
671,89.418877,-2.863482,-1.203989
672,89.413658,-2.879709,-1.283285
673,89.405304,-2.884712,-1.272410
674,89.416115,-2.869035,-1.185477
675,89.441338,-2.872641,-1.267172
