18:09:54.756: Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
18:10:02.787: 8,0:0:0:3445,1,-68,-924,85,3850,-3780,1540,-1063239215,0,1,986,2,250,1855,99812,0,0,65344,8194,-1392510048,-1,0,
18:10:02.896: 0,0:0:0:3445,1,-19,-826,182,4340,-10430,1120,-1063240602,0,1,982,-33,175,1855,99800,0,0,65344,8194,-1392510048,-1,0,
18:10:03.113: 0,0:0:0:3445,1,-19,-875,134,4340,-4690,13300,-1063243966,0,1,985,-20,268,1855,99800,0,0,65344,8194,-1392510048,-1,0,
18:10:03.223: 8,0:0:0:3445,1,-117,-826,134,2590,-5110,-15050,-1063244247,0,1,971,-14,208,1855,99823,0,0,65344,8194,-1392510048,-1,0,
18:10:03.333: 8,0:0:0:3445,1,29,-924,134,6090,-8610,-2380,-1063237798,0,1,971,-30,255,1855,99834,0,0,65344,8194,-1392510048,-1,0,
18:10:03.546: 0,0:0:0:3445,1,-117,-826,134,3430,-3360,-1540,-1063234434,0,1,969,17,361,1855,99823,0,0,65344,8194,-1392510048,-1,0,
18:10:03.656: 8,0:0:0:3445,1,-117,-924,134,3850,1120,1120,-1063237237,0,1,980,-59,329,1854,99807,0,0,65344,8194,-1392510048,-1,0,
18:10:03.765: 0,0:0:0:3445,1,29,-826,134,840,-6020,2030,-1063242548,0,1,1004,-36,225,1854,99819,0,0,65344,8194,-1392510048,-1,0,
18:10:03.979: 8,0:0:0:3445,1,-19,-924,85,2100,-3360,1120,-1063239185,0,1,1019,50,137,1854,99826,0,0,65344,8194,-1392510048,-1,0,
18:10:04.087: 32,0:0:0:3445,1,-117,-875,231,2100,-2870,700,-1063237224,0,1,1005,32,107,1854,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:04.194: 0,0:0:0:3445,1,-68,-826,231,5670,-16380,2450,-1063243669,0,1,990,-27,248,1854,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:04.411: 0,0:0:0:3445,1,78,-875,134,350,-7770,-14560,-1063243949,0,1,978,-23,243,1854,99803,0,0,65344,8194,-1392510048,-1,0,
18:10:04.522: 0,0:0:0:3445,1,29,-924,182,350,-6020,1610,-1063243949,0,1,981,-146,282,1853,99799,0,0,65344,8194,-1392510048,-1,0,
18:10:04.633: 32,0:0:0:3445,1,-19,-826,85,350,-1540,2030,-1063245613,0,1,939,3,303,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:04.741: 32,0:0:0:3445,1,-68,-924,85,840,-4200,2450,-1063241117,0,1,955,-16,203,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:04.958: 32,0:0:0:3445,1,-68,-826,36,4760,-2870,1540,-1063240837,0,1,985,32,215,1851,99813,0,0,65344,8194,-1392510048,-1,0,
